original_rank;rule_id;profile_id;model_id;target_id;filter_id;locked_test_policy;run_group;seed;spread;timezone_shift_hours;provider_drift_status;transfer_status;locked_test_status;stop_policy_id;entry_id;mask_id;exit_id;split;n_trades;gross_profit;gross_loss;pf;mean_pnl_r;median_pnl_r;max_drawdown_r;win_rate;ambiguous_same_bar_rate;exit_reason_counts;risk_distance_atr;tp_distance_atr;bs_p05;negative_years;pf_without_best_year;effective_profit_years;n_years;filter_id_summary;filter_family;top_fraction;score_cutoff_on_val_select;entry_filter_score_col;selected_fraction;sl_rate;profile_id_summary;model_id_summary;target_id_summary;eligible_for_winner;not_eligible_for_winner;not_eligible_reason;rich_entry_seed;locked_test;fixed_cutoff_source;run_group_summary;status;diagnostic;fixed_cutoff_policy;saved_scores_mutated;winner_selected;reason
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;not_opened;multiseed;41;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1223;535.275421211596;163.8492646454398;3.2668771652402637;0.3037008639134557;0.0051282051282004;5.203145128765343;0.5069501226492232;0.0;{'ML_CLOSE': 873, 'TIME': 311, 'SL': 39};2.0;;2.833848757080637;0;3.0930696564767697;1.9201880438589785;2;top50;rich_entry_quality;0.5;0.2897998842880031;rich_entry_score;0.5322019147084421;0.0318887980376124;movement_plus_time;linear;target_entry_good_0_5r;True;False;;41;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;639;291.67904762875696;71.67055032440115;4.069719659030596;0.3443012477376461;0.0336956521739316;3.390579268292761;0.5352112676056338;0.0;{'ML_CLOSE': 453, 'TIME': 173, 'SL': 13};2.0;;3.425498859311634;0;3.528891612230045;1.993724466452874;2;top30;rich_entry_quality;0.3;-0.0267181842596606;rich_entry_score;0.2780678851174935;0.0203442879499217;time_only;linear;target_entry_ev_regression;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;889;410.8321655881538;110.33455050213816;3.723513294053727;0.3380175647761706;0.025000000000004;4.9121701773837;0.5230596175478065;0.0;{'ML_CLOSE': 624, 'TIME': 238, 'SL': 27};2.0;;3.094047471019743;0;3.189187198767371;1.995471853202703;2;top40;rich_entry_quality;0.4;-0.0390640699904365;rich_entry_score;0.386858137510879;0.03037120359955;time_only;linear;target_entry_ev_regression;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1087;495.5726641648112;138.67386395179773;3.5736558428707914;0.3283337628454585;0.0171232876712173;5.143389031204336;0.5179392824287029;0.0;{'ML_CLOSE': 769, 'TIME': 282, 'SL': 36};2.0;;3.089645734990148;0;3.0805802911206914;1.9972470394145665;2;top50;rich_entry_quality;0.5;-0.0474950606299718;rich_entry_score;0.4730200174064404;0.0331186752529898;time_only;linear;target_entry_ev_regression;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;840;384.1056279918477;103.03515560561792;3.727908457401356;0.3346077052217021;0.0202025368248586;4.261773771464071;0.5166666666666667;0.0;{'ML_CLOSE': 601, 'TIME': 218, 'SL': 21};2.0;;3.138626697919389;0;3.165136046137006;1.9866094169865944;2;top40;rich_entry_quality;0.4;0.2900920417107097;rich_entry_score;0.3655352480417754;0.025;time_only;linear;target_entry_good_0_5r;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;570;259.0921753577215;68.85262272144989;3.762996457025385;0.3337536011162659;0.0214407260351746;3.5589674017136304;0.5245614035087719;0.0;{'ML_CLOSE': 400, 'TIME': 158, 'SL': 12};2.0;;3.107830087591563;0;3.629270497267263;1.9564252802070472;2;top30;rich_entry_quality;0.3;0.4288113055848618;rich_entry_score;0.248041775456919;0.0210526315789473;time_only;linear;target_entry_avoid_sl;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
6;rank06_time_only_linear_target_entry_good_0_5r_top50;time_only;linear;target_entry_good_0_5r;top50;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1099;510.2031162587971;142.40956763219893;3.582646340002227;0.3346620096693341;0.0224489795918396;5.734665727829565;0.5222929936305732;0.0;{'ML_CLOSE': 770, 'TIME': 292, 'SL': 37};2.0;;3.105367308136909;0;3.1650636536977506;1.9943834800080515;2;top50;rich_entry_quality;0.5;0.2863669071030585;rich_entry_score;0.4782419495213229;0.0336669699727024;time_only;linear;target_entry_good_0_5r;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
7;rank07_movement_plus_time_linear_target_entry_good_0_5r_top40;movement_plus_time;linear;target_entry_good_0_5r;top40;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;979;424.9048320752118;128.2877312719365;3.312123675915076;0.3029796739563588;0.0032608695652144;5.71660053148797;0.5035750766087844;0.0;{'ML_CLOSE': 698, 'TIME': 250, 'SL': 31};2.0;;2.8836238567909103;0;3.166495852537316;1.8762843614250404;2;top40;rich_entry_quality;0.4;0.2941066606932765;rich_entry_score;0.4260226283724978;0.0316649642492339;movement_plus_time;linear;target_entry_good_0_5r;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
8;rank08_movement_plus_time_linear_target_entry_good_0_5r_top30;movement_plus_time;linear;target_entry_good_0_5r;top30;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;760;332.98754541898626;97.25654791816676;3.4238059292333443;0.3101723651326572;0.0045641025640984;5.557700864082179;0.5078947368421053;0.0;{'ML_CLOSE': 541, 'TIME': 197, 'SL': 22};2.0;;2.855082109917759;0;3.304700024652641;1.8020698262238604;2;top30;rich_entry_quality;0.3;0.2982796930676169;rich_entry_score;0.3307223672758921;0.0289473684210526;movement_plus_time;linear;target_entry_good_0_5r;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
9;rank09_time_only_hist_gradient_boosting_target_entry_good_0_5r_top50;time_only;hist_gradient_boosting;target_entry_good_0_5r;top50;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1107;535.257531857709;162.56306690758385;3.292614626679009;0.3366707000452801;0.0;4.491800707590187;0.4986449864498645;0.0;{'ML_CLOSE': 763, 'TIME': 299, 'SL': 45};2.0;;2.8409370002597787;0;3.2817584617766644;1.9789436675053969;2;top50;rich_entry_quality;0.5;0.2867911301968629;rich_entry_score;0.4817232375979112;0.040650406504065;time_only;hist_gradient_boosting;target_entry_good_0_5r;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
10;rank10_movement_plus_time_linear_target_entry_ev_regression_top50;movement_plus_time;linear;target_entry_ev_regression;top50;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1335;613.8885655597758;187.2846455974524;3.2778371318237234;0.3195534980991187;0.0032608695652144;5.690029033643782;0.5048689138576778;0.0;{'ML_CLOSE': 941, 'TIME': 342, 'SL': 52};2.0;;2.834292102379781;0;3.0582531171047926;1.873725711204304;2;top50;rich_entry_quality;0.5;-0.0275664925037564;rich_entry_score;0.5809399477806788;0.0389513108614232;movement_plus_time;linear;target_entry_ev_regression;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
11;rank11_movement_plus_time_linear_target_entry_good_0_5r_top50;movement_plus_time;linear;target_entry_good_0_5r;top50;not_opened;multiseed;42;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1223;535.275421211596;163.8492646454398;3.2668771652402637;0.3037008639134557;0.0051282051282004;5.203145128765343;0.5069501226492232;0.0;{'ML_CLOSE': 873, 'TIME': 311, 'SL': 39};2.0;;2.833848757080637;0;3.0930696564767697;1.9201880438589785;2;top50;rich_entry_quality;0.5;0.2897998842880031;rich_entry_score;0.5322019147084421;0.0318887980376124;movement_plus_time;linear;target_entry_good_0_5r;True;False;;42;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
1;rank01_time_only_linear_target_entry_ev_regression_top30;time_only;linear;target_entry_ev_regression;top30;not_opened;multiseed;43;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;639;291.67904762875696;71.67055032440115;4.069719659030596;0.3443012477376461;0.0336956521739316;3.390579268292761;0.5352112676056338;0.0;{'ML_CLOSE': 453, 'TIME': 173, 'SL': 13};2.0;;3.425498859311634;0;3.528891612230045;1.993724466452874;2;top30;rich_entry_quality;0.3;-0.0267181842596606;rich_entry_score;0.2780678851174935;0.0203442879499217;time_only;linear;target_entry_ev_regression;True;False;;43;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
2;rank02_time_only_linear_target_entry_ev_regression_top40;time_only;linear;target_entry_ev_regression;top40;not_opened;multiseed;43;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;889;410.8321655881538;110.33455050213816;3.723513294053727;0.3380175647761706;0.025000000000004;4.9121701773837;0.5230596175478065;0.0;{'ML_CLOSE': 624, 'TIME': 238, 'SL': 27};2.0;;3.094047471019743;0;3.189187198767371;1.995471853202703;2;top40;rich_entry_quality;0.4;-0.0390640699904365;rich_entry_score;0.386858137510879;0.03037120359955;time_only;linear;target_entry_ev_regression;True;False;;43;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
3;rank03_time_only_linear_target_entry_ev_regression_top50;time_only;linear;target_entry_ev_regression;top50;not_opened;multiseed;43;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;1087;495.5726641648112;138.67386395179773;3.5736558428707914;0.3283337628454585;0.0171232876712173;5.143389031204336;0.5179392824287029;0.0;{'ML_CLOSE': 769, 'TIME': 282, 'SL': 36};2.0;;3.089645734990148;0;3.0805802911206914;1.9972470394145665;2;top50;rich_entry_quality;0.5;-0.0474950606299718;rich_entry_score;0.4730200174064404;0.0331186752529898;time_only;linear;target_entry_ev_regression;True;False;;43;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
4;rank04_time_only_linear_target_entry_good_0_5r_top40;time_only;linear;target_entry_good_0_5r;top40;not_opened;multiseed;43;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;840;384.1056279918477;103.03515560561792;3.727908457401356;0.3346077052217021;0.0202025368248586;4.261773771464071;0.5166666666666667;0.0;{'ML_CLOSE': 601, 'TIME': 218, 'SL': 21};2.0;;3.138626697919389;0;3.165136046137006;1.9866094169865944;2;top40;rich_entry_quality;0.4;0.2900920417107097;rich_entry_score;0.3655352480417754;0.025;time_only;linear;target_entry_good_0_5r;True;False;;43;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
5;rank05_time_only_linear_target_entry_avoid_sl_top30;time_only;linear;target_entry_avoid_sl;top30;not_opened;multiseed;43;0.2;0;NOT_IN_SCOPE;NOT_IN_SCOPE;not_opened;S2_fractal0_buffer_0_5_entry_floor_2;E3_open_pullback_1_0atr;M0_no_mask;X2_ml_opposite_any_p0_50;val_eval;570;259.0921753577215;68.85262272144989;3.762996457025385;0.3337536011162659;0.0214407260351746;3.5589674017136304;0.5245614035087719;0.0;{'ML_CLOSE': 400, 'TIME': 158, 'SL': 12};2.0;;3.107830087591563;0;3.629270497267263;1.9564252802070472;2;top30;rich_entry_quality;0.3;0.4288113055848618;rich_entry_score;0.248041775456919;0.0210526315789473;time_only;linear;target_entry_avoid_sl;True;False;;43;not_opened;ML/reports/leaderboard_closure_audit_rules.csv;multiseed;COMPUTED;frozen_cutoff_seed_stress;source_rules_csv_score_cutoff_on_val_select;False;False;frozen_cutoff_seed_stress_saved_cutoff_reuse
